Category,Subcategory,Code
Violent Crimes,Homicide,110
Violent Crimes,Homicide,113
Violent Crimes,Rape,121
Violent Crimes,Rape,122
Violent Crimes,Rape,815
Violent Crimes,Rape,820
Violent Crimes,Rape,821
Violent Crimes,Robbery,210
Violent Crimes,Robbery,220
Violent Crimes,AGG. Assults,230
Violent Crimes,AGG. Assults,231
Violent Crimes,AGG. Assults,235
Violent Crimes,AGG. Assults,236
Violent Crimes,AGG. Assults,250
Violent Crimes,AGG. Assults,251
Violent Crimes,AGG. Assults,761
Violent Crimes,AGG. Assults,926
Violent Crimes,SIMPLEASSAULT,435
Violent Crimes,SIMPLEASSAULT,436
Violent Crimes,SIMPLEASSAULT,437
Violent Crimes,SIMPLEASSAULT,622
Violent Crimes,SIMPLEASSAULT,623
Violent Crimes,SIMPLEASSAULT,624
Violent Crimes,SIMPLEASSAULT,625
Violent Crimes,SIMPLEASSAULT,626
Violent Crimes,SIMPLEASSAULT,627
Violent Crimes,SIMPLEASSAULT,647
Violent Crimes,SIMPLEASSAULT,763
Violent Crimes,SIMPLEASSAULT,928
Violent Crimes,SIMPLEASSAULT,930
PROPERTY CRIMES,BRGLARY,310
PROPERTY CRIMES,BRGLARY,320
PROPERTY CRIMES,MVT,510
PROPERTY CRIMES,MVT,520
PROPERTY CRIMES,MVT,433
PROPERTY CRIMES,BTFV,330
PROPERTY CRIMES,BTFV,331
PROPERTY CRIMES,BTFV,410
PROPERTY CRIMES,BTFV,420
PROPERTY CRIMES,BTFV,421
PROPERTY CRIMES,PERSONAL THFT,350
PROPERTY CRIMES,PERSONAL THFT,351
PROPERTY CRIMES,PERSONAL THFT,352
PROPERTY CRIMES,PERSONAL THFT,353
PROPERTY CRIMES,PERSONAL THFT,450
PROPERTY CRIMES,PERSONAL THFT,451
PROPERTY CRIMES,PERSONAL THFT,452
PROPERTY CRIMES,PERSONAL THFT,453
PROPERTY CRIMES,OTHER THEFT,341
PROPERTY CRIMES,OTHER THEFT,343
PROPERTY CRIMES,OTHER THEFT,345
PROPERTY CRIMES,OTHER THEFT,440
PROPERTY CRIMES,OTHER THEFT,441
PROPERTY CRIMES,OTHER THEFT,442
PROPERTY CRIMES,OTHER THEFT,443
PROPERTY CRIMES,OTHER THEFT,444
PROPERTY CRIMES,OTHER THEFT,445
PROPERTY CRIMES,OTHER THEFT,470
PROPERTY CRIMES,OTHER THEFT,471
PROPERTY CRIMES,OTHER THEFT,472
PROPERTY CRIMES,OTHER THEFT,473
PROPERTY CRIMES,OTHER THEFT,474
PROPERTY CRIMES,OTHER THEFT,475
PROPERTY CRIMES,OTHER THEFT,480
PROPERTY CRIMES,OTHER THEFT,485
PROPERTY CRIMES,OTHER THEFT,487
PROPERTY CRIMES,OTHER THEFT,491
