,dr_no,date_rptd,date_occ,time_occ,area,area_name,rpt_dist_no,part_1_2,crm_cd,crm_cd_desc,mocodes,vict_age,vict_sex,vict_descent,premis_cd,premis_desc,status,status_desc,crm_cd_1,location,lat,lon,weapon_used_cd,weapon_desc,cross_street,crm_cd_2,crm_cd_3,crm_cd_4
0,230309403,2023-04-15T00:00:00.000,2020-09-06T00:00:00.000,0001,03,Southwest,0363,2,354,THEFT OF IDENTITY,1822 0100 0930 0928,30,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,354,4000    WEST                         BL,34.0128,-118.3447,,,,,,
1,231908073,2023-04-15T00:00:00.000,2020-12-01T00:00:00.000,1250,19,Mission,1904,2,354,THEFT OF IDENTITY,0377,51,M,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,354,14000    TYLER                        ST,34.3236,-118.4383,,,,,,
2,230209558,2023-04-15T00:00:00.000,2021-03-27T00:00:00.000,2015,02,Rampart,0201,2,354,THEFT OF IDENTITY,1822 0100 0929 0923 0930 0928,31,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,354,1000 N  MARIPOSA                     AV,34.0891,-118.2992,,,,,,
3,231210345,2023-04-15T00:00:00.000,2022-07-15T00:00:00.000,1725,12,77th Street,1266,2,354,THEFT OF IDENTITY,0100 0930 0935 0929 0922 1822,27,M,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,354,8000 S  FIGUEROA                     ST,33.9667,-118.2827,,,,,,
4,230608514,2023-04-15T00:00:00.000,2022-04-09T00:00:00.000,0600,06,Hollywood,0645,2,354,THEFT OF IDENTITY,0913 2006 0928 1810 0935 1501,44,F,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,354,7000    HAWTHORN                     AV,34.1004,-118.3414,,,,,,
5,231408550,2023-04-15T00:00:00.000,2022-11-17T00:00:00.000,1435,14,Pacific,1452,2,664,"BUNCO, PETTY THEFT",0344,24,F,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,664,00    OUTRIGGER                    ST,33.9713,-118.4598,,,,,,
6,231107961,2023-04-15T00:00:00.000,2023-04-15T00:00:00.000,1055,11,Northeast,1145,1,330,BURGLARY FROM VEHICLE,1822,27,M,W,101,STREET,IC,Invest Cont,330,1900    RIVERSIDE                    DR,34.0972,-118.2465,,,,,,
7,230110677,2023-04-15T00:00:00.000,2022-03-24T00:00:00.000,0910,01,Central,0161,2,354,THEFT OF IDENTITY,0930 1822,22,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,354,1000 W  8TH                          ST,34.0487,-118.2627,,,,,,
8,231508305,2023-04-15T00:00:00.000,2023-04-07T00:00:00.000,0100,15,N Hollywood,1546,1,330,BURGLARY FROM VEHICLE,0385 1822,45,M,W,101,STREET,IC,Invest Cont,330,11600    HESBY                        ST,34.1622,-118.3856,,,,,,
9,230110691,2023-04-15T00:00:00.000,2022-12-23T00:00:00.000,2045,01,Central,0154,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 0400 0448 0416 0417 1813 1814 1243 0444,25,F,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,626,100 W  5TH                          ST,34.0467,-118.2485,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,,
