date_rptd,count,y_hat,crimen,zona
2020-02-09,25.0,26.0,104,1
2020-02-10,45.0,46.0,104,1
2020-02-11,39.0,39.0,104,1
2020-02-12,47.0,47.0,104,1
2020-02-13,34.0,34.0,104,1
2020-02-14,35.0,35.0,104,1
2020-02-15,23.0,24.0,104,1
2020-02-16,28.0,28.0,104,1
2020-02-17,39.0,39.0,104,1
2020-02-18,49.0,49.0,104,1
2020-02-19,35.0,36.0,104,1
2020-02-20,32.0,32.0,104,1
2020-02-21,29.0,29.0,104,1
2020-02-22,28.0,28.0,104,1
2020-02-23,29.0,30.0,104,1
2020-02-24,35.0,36.0,104,1
2020-02-25,33.0,33.0,104,1
2020-02-26,33.0,33.0,104,1
2020-02-27,31.0,31.0,104,1
2020-02-28,34.0,35.0,104,1
2020-02-29,31.0,32.0,104,1
2020-03-01,35.0,35.0,104,1
2020-03-02,57.0,56.0,104,1
2020-03-03,41.0,41.0,104,1
2020-03-04,37.0,37.0,104,1
2020-03-05,34.0,34.0,104,1
2020-03-06,39.0,38.0,104,1
2020-03-07,44.0,44.0,104,1
2020-03-08,24.0,25.0,104,1
2020-03-09,50.0,50.0,104,1
2020-03-10,38.0,38.0,104,1
2020-03-11,40.0,40.0,104,1
2020-03-12,38.0,38.0,104,1
2020-03-13,33.0,34.0,104,1
2020-03-14,25.0,27.0,104,1
2020-03-15,26.0,26.0,104,1
2020-03-16,47.0,47.0,104,1
2020-03-17,39.0,39.0,104,1
2020-03-18,36.0,37.0,104,1
2020-03-19,25.0,26.0,104,1
2020-03-20,26.0,26.0,104,1
2020-03-21,25.0,26.0,104,1
2020-03-22,25.0,25.0,104,1
2020-03-23,35.0,36.0,104,1
2020-03-24,34.0,34.0,104,1
2020-03-25,32.0,32.0,104,1
2020-03-26,39.0,39.0,104,1
2020-03-27,33.0,34.0,104,1
2020-03-28,38.0,39.0,104,1
2020-03-29,19.0,19.0,104,1
2020-03-30,35.0,34.0,104,1
2020-03-31,31.0,30.0,104,1
2020-04-01,31.0,31.0,104,1
2020-04-02,32.0,33.0,104,1
2020-04-03,36.0,36.0,104,1
2020-04-04,21.0,23.0,104,1
2020-04-05,31.0,31.0,104,1
2020-04-06,29.0,30.0,104,1
2020-04-07,36.0,36.0,104,1
2020-04-08,41.0,41.0,104,1
2020-04-09,22.0,23.0,104,1
2020-04-10,28.0,28.0,104,1
2020-04-11,34.0,35.0,104,1
2020-04-12,28.0,28.0,104,1
2020-04-13,45.0,46.0,104,1
2020-04-14,38.0,38.0,104,1
2020-04-15,34.0,34.0,104,1
2020-04-16,53.0,52.0,104,1
2020-04-17,41.0,41.0,104,1
2020-04-18,40.0,40.0,104,1
2020-04-19,24.0,25.0,104,1
2020-04-20,34.0,33.0,104,1
2020-04-21,33.0,32.0,104,1
2020-04-22,34.0,34.0,104,1
2020-04-23,27.0,28.0,104,1
2020-04-24,35.0,35.0,104,1
2020-04-25,31.0,31.0,104,1
2020-04-26,31.0,31.0,104,1
2020-04-27,44.0,44.0,104,1
2020-04-28,45.0,46.0,104,1
2020-04-29,48.0,48.0,104,1
2020-04-30,50.0,49.0,104,1
2020-05-01,37.0,37.0,104,1
2020-05-02,30.0,31.0,104,1
2020-05-03,35.0,34.0,104,1
2020-05-04,48.0,47.0,104,1
2020-05-05,43.0,42.0,104,1
2020-05-06,43.0,43.0,104,1
2020-05-07,41.0,41.0,104,1
2020-05-08,24.0,25.0,104,1
2020-05-09,29.0,29.0,104,1
2020-05-10,43.0,43.0,104,1
2020-05-11,37.0,39.0,104,1
2020-05-12,49.0,50.0,104,1
2020-05-13,32.0,32.0,104,1
2020-05-14,34.0,35.0,104,1
2020-05-15,36.0,36.0,104,1
2020-05-16,28.0,29.0,104,1
2020-05-17,41.0,41.0,104,1
2020-05-18,56.0,56.0,104,1
2020-05-19,45.0,45.0,104,1
2020-05-20,39.0,39.0,104,1
2020-05-21,38.0,38.0,104,1
2020-05-22,26.0,26.0,104,1
2020-05-23,31.0,31.0,104,1
2020-05-24,30.0,30.0,104,1
2020-05-25,39.0,39.0,104,1
2020-05-26,47.0,47.0,104,1
2020-05-27,44.0,44.0,104,1
2020-05-28,40.0,40.0,104,1
2020-05-29,40.0,41.0,104,1
2020-05-30,21.0,23.0,104,1
2020-05-31,19.0,20.0,104,1
2020-06-01,27.0,27.0,104,1
2020-06-02,27.0,27.0,104,1
2020-06-03,40.0,40.0,104,1
2020-06-04,41.0,42.0,104,1
2020-06-05,37.0,39.0,104,1
2020-06-06,30.0,32.0,104,1
2020-06-07,26.0,27.0,104,1
2020-06-08,44.0,43.0,104,1
2020-06-09,28.0,28.0,104,1
2020-06-10,44.0,43.0,104,1
2020-06-11,47.0,46.0,104,1
2020-06-12,35.0,36.0,104,1
2020-06-13,48.0,49.0,104,1
2020-06-14,30.0,31.0,104,1
2020-06-15,65.0,66.0,104,1
2020-06-16,68.0,68.0,104,1
2020-06-17,41.0,41.0,104,1
2020-06-18,40.0,40.0,104,1
2020-06-19,56.0,55.0,104,1
2020-06-20,33.0,34.0,104,1
2020-06-21,34.0,35.0,104,1
2020-06-22,44.0,45.0,104,1
2020-06-23,51.0,51.0,104,1
2020-06-24,47.0,48.0,104,1
2020-06-25,55.0,55.0,104,1
2020-06-26,39.0,40.0,104,1
2020-06-27,38.0,40.0,104,1
2020-06-28,35.0,35.0,104,1
2020-06-29,49.0,49.0,104,1
2020-06-30,44.0,45.0,104,1
2020-07-01,41.0,42.0,104,1
2020-07-02,46.0,46.0,104,1
2020-07-03,40.0,40.0,104,1
2020-07-04,39.0,39.0,104,1
2020-07-05,36.0,36.0,104,1
2020-07-06,44.0,45.0,104,1
2020-07-07,40.0,40.0,104,1
2020-07-08,36.0,35.0,104,1
2020-07-09,36.0,37.0,104,1
2020-07-10,39.0,40.0,104,1
2020-07-11,28.0,31.0,104,1
2020-07-12,28.0,29.0,104,1
2020-07-13,44.0,45.0,104,1
2020-07-14,33.0,34.0,104,1
2020-07-15,27.0,28.0,104,1
2020-07-16,38.0,38.0,104,1
2020-07-17,29.0,30.0,104,1
2020-07-18,26.0,28.0,104,1
2020-07-19,24.0,26.0,104,1
2020-07-20,51.0,52.0,104,1
2020-07-21,43.0,44.0,104,1
2020-07-22,37.0,38.0,104,1
2020-07-23,39.0,39.0,104,1
2020-07-24,28.0,29.0,104,1
2020-07-25,17.0,18.0,104,1
2020-07-26,32.0,32.0,104,1
2020-07-27,45.0,45.0,104,1
2020-07-28,45.0,46.0,104,1
2020-07-29,38.0,38.0,104,1
2020-07-30,29.0,30.0,104,1
2020-07-31,15.0,17.0,104,1
2020-08-01,26.0,27.0,104,1
2020-08-02,36.0,36.0,104,1
2020-08-03,41.0,42.0,104,1
2020-08-04,37.0,38.0,104,1
2020-08-05,34.0,34.0,104,1
2020-08-06,35.0,36.0,104,1
2020-08-07,34.0,35.0,104,1
2020-08-08,31.0,32.0,104,1
2020-08-09,41.0,41.0,104,1
2020-08-10,44.0,43.0,104,1
2020-08-11,34.0,34.0,104,1
2020-08-12,39.0,38.0,104,1
2020-08-13,27.0,28.0,104,1
2020-08-14,29.0,30.0,104,1
2020-08-15,23.0,24.0,104,1
2020-08-16,24.0,24.0,104,1
2020-08-17,38.0,38.0,104,1
2020-08-18,31.0,31.0,104,1
2020-08-19,32.0,32.0,104,1
2020-08-20,24.0,25.0,104,1
2020-08-21,33.0,34.0,104,1
2020-08-22,23.0,25.0,104,1
2020-08-23,28.0,29.0,104,1
2020-08-24,40.0,40.0,104,1
2020-08-25,40.0,39.0,104,1
2020-08-26,45.0,45.0,104,1
2020-08-27,34.0,34.0,104,1
2020-08-28,31.0,31.0,104,1
2020-08-29,39.0,39.0,104,1
2020-08-30,29.0,29.0,104,1
2020-08-31,42.0,41.0,104,1
2020-09-01,41.0,40.0,104,1
2020-09-02,29.0,29.0,104,1
2020-09-03,35.0,35.0,104,1
