dr_no,date_rptd,date_occ,time_occ,area,area_name,rpt_dist_no,part_1_2,crm_cd,crm_cd_desc,mocodes,vict_age,vict_sex,vict_descent,premis_cd,premis_desc,weapon_used_cd,weapon_desc,status,status_desc,crm_cd_1,location,lat,lon,crm_cd_2,cross_street
010304468,2020-01-08,2020-01-08,2230,03,Southwest,0377,2,624,BATTERY - SIMPLE ASSAULT,0444 0913,36,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,1100 W  39TH                         PL,34.0141,-118.2978,,
190101086,2020-01-02,2020-01-01,0330,01,Central,0163,2,624,BATTERY - SIMPLE ASSAULT,0416 1822 1414,25,M,H,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,700 S  HILL                         ST,34.0459,-118.2545,,
200110444,2020-04-14,2020-02-13,1200,01,Central,0155,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1501,0,X,X,726,POLICE FACILITY,,,AA,Adult Arrest,845,200 E  6TH                          ST,34.0448,-118.2474,,
191501505,2020-01-01,2020-01-01,1730,15,N Hollywood,1543,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1402,76,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745,5400    CORTEEN                      PL,34.1685,-118.4019,998,
191921269,2020-01-01,2020-01-01,0415,19,Mission,1998,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,31,X,X,409,BEAUTY SUPPLY STORE,,,IC,Invest Cont,740,14400    TITUS                        ST,34.2198,-118.4468,,
200100501,2020-01-02,2020-01-01,0030,01,Central,0163,1,121,"RAPE, FORCIBLE",0413 1822 1262 1415,25,F,H,735,NIGHT CLUB (OPEN EVENINGS ONLY),500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,121,700 S  BROADWAY,34.0452,-118.2534,998,
200100502,2020-01-02,2020-01-02,1315,01,Central,0161,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1402 2004 0344 0387,23,M,H,404,DEPARTMENT STORE,,,IC,Invest Cont,442,700 S  FIGUEROA                     ST,34.0483,-118.2631,998,
200100504,2020-01-04,2020-01-04,0040,01,Central,0155,2,946,OTHER MISCELLANEOUS CRIME,1402 0392,0,X,X,726,POLICE FACILITY,,,IC,Invest Cont,946,200 E  6TH                          ST,34.0448,-118.2474,998,
200100507,2020-01-04,2020-01-04,0200,01,Central,0101,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344 1402,23,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341,700    BERNARD                      ST,34.0677,-118.2398,998,
201710201,2020-06-19,2020-05-26,1925,17,Devonshire,1708,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1300 0202 0378 0325,0,X,X,203,OTHER BUSINESS,,,AO,Adult Other,341,11900    BALBOA                       BL,34.2864,-118.5021,,
200100509,2020-01-04,2020-01-04,2200,01,Central,0192,1,330,BURGLARY FROM VEHICLE,1822 1414 0344 1307,29,M,A,101,STREET,306,ROCK/THROWN OBJECT,IC,Invest Cont,330,15TH,34.0359,-118.2648,,OLIVE
200100510,2020-01-05,2020-01-05,0955,01,Central,0111,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0906,35,M,O,108,PARKING LOT,511,VERBAL THREAT,IC,Invest Cont,930,800 N  ALAMEDA                      ST,34.0615,-118.2412,,
200100514,2020-01-05,2020-01-05,1355,01,Central,0162,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344 2032,41,M,A,503,HOTEL,,,AA,Adult Arrest,341,800 S  OLIVE                        ST,34.0452,-118.2569,,
200100515,2020-01-07,2020-01-07,1638,01,Central,0162,1,648,ARSON,1402 1501 2004,0,X,X,404,DEPARTMENT STORE,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,648,700 W  7TH                          ST,34.048,-118.2577,998,
200100520,2020-01-08,2020-01-08,1805,01,Central,0128,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1402 0344 1822,24,F,H,252,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",,,IC,Invest Cont,442,100 S  LOS ANGELES                  ST,34.0515,-118.2424,,
211916029,2021-11-26,2020-11-30,0730,19,Mission,1916,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0416,24,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,14200    BERG                         ST,34.3055,-118.4439,,
201116159,2020-11-29,2020-11-28,2018,11,Northeast,1124,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0416 1814 2000,34,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,3200 W  AVENUE 32,34.1186,-118.245,,
200506268,2020-02-22,2020-02-22,1900,05,Harbor,0511,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0319 0344 0429 0448 0305,29,F,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,440,PACIFIC COAST,33.7926,-118.3043,624,VERMONT
210916801,2021-11-22,2020-11-19,1200,09,Van Nuys,0932,2,354,THEFT OF IDENTITY,1501 1822,46,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,14700    FRIAR                        ST,34.1857,-118.4574,,
200100535,2020-01-14,2020-01-14,1330,01,Central,0152,1,210,ROBBERY,0416 0411 0344 1822 0305 0334 2004 1414 1202 1218,66,M,B,103,ALLEY,204,FOLDING KNIFE,IC,Invest Cont,210,7TH,34.0463,-118.255,,HILL
200914517,2020-09-10,2020-09-09,1735,09,Van Nuys,0909,2,354,THEFT OF IDENTITY,0377 1822 0928,40,M,O,507,CONDOMINIUM/TOWNHOUSE,,,IC,Invest Cont,354,13600    LEADWELL                     ST,34.2039,-118.4312,,
200100538,2020-01-14,2020-01-14,1730,01,Central,0162,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822 2032,31,M,H,404,DEPARTMENT STORE,,,IC,Invest Cont,341,700 W  7TH                          ST,34.048,-118.2577,,
200100543,2020-01-15,2020-01-15,1445,01,Central,0162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1402 0907,27,M,B,404,DEPARTMENT STORE,,,IC,Invest Cont,442,700 W  7TH                          ST,34.048,-118.2577,998,
211014725,2021-11-18,2020-12-28,0001,10,West Valley,1045,2,354,THEFT OF IDENTITY,1822 0930 0929,46,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,5700    ENFIELD                      AV,34.1748,-118.5228,,
200100546,2020-01-15,2020-01-15,0700,01,Central,0166,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0913 2004 1218,62,M,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,230,600    SAN JULIAN                   ST,34.0428,-118.2461,,
211015072,2021-11-29,2020-11-01,1200,10,West Valley,1043,2,354,THEFT OF IDENTITY,1822,34,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,18600    COLLINS                      ST,34.1745,-118.5383,,
201106067,2020-02-15,2020-02-15,1830,11,Northeast,1101,1,330,BURGLARY FROM VEHICLE,0344 0352 1307,43,M,A,108,PARKING LOT,,,IC,Invest Cont,330,2700 N  VERMONT                      AV,34.1179,-118.293,,
200100552,2020-01-19,2020-01-19,2000,01,Central,0111,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 0305 0411 1202 1414 1402 1822 0906,71,M,W,148,PUBLIC RESTROOM/OUTSIDE*,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,230,ALAMEDA,34.0578,-118.2371,,LOS ANGELES
200815333,2020-10-15,2020-10-15,2000,08,West LA,0814,2,624,BATTERY - SIMPLE ASSAULT,0417 0344 1823,50,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,100 S  ACARI                        DR,34.0701,-118.4679,,
200100556,2020-01-20,2020-01-20,0400,01,Central,0141,1,121,"RAPE, FORCIBLE",1414 1402 1415 0444 0527 0537 0400 0507 1822,19,F,B,503,HOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,300 S  FIGUEROA                     ST,34.0542,-118.2566,998,
200100559,2020-01-23,2020-01-23,0600,01,Central,0111,1,310,BURGLARY,1402 1822 1414 0344,51,M,W,503,HOTEL,,,AO,Adult Other,310,700 N  MAIN                         ST,34.0583,-118.2378,,
210816993,2021-11-24,2020-04-28,0100,08,West LA,0859,2,354,THEFT OF IDENTITY,0100 0930 1822,27,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,8500    CASHIO                       ST,34.0507,-118.3762,,
201111990,2020-07-29,2020-07-29,2020,11,Northeast,1124,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 0444,33,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,3200 W  AVENUE 32,34.1186,-118.245,,
200117988,2020-09-15,2020-09-03,2000,01,Central,0111,1,510,VEHICLE - STOLEN,,0,,,707,GARAGE/CARPORT,,,IC,Invest Cont,510,500 N  FIGUEROA                     ST,34.0615,-118.247,,
200100568,2020-01-27,2020-01-27,1500,01,Central,0166,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1402 0910 0444 0443 0334 1202 1822 2051 2049,69,M,B,801,MTA BUS,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,930,6TH,34.0428,-118.2461,998,SAN JULIAN
211015073,2021-11-29,2020-11-01,1200,10,West Valley,1043,2,354,THEFT OF IDENTITY,1822,39,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,18600    COLLINS                      ST,34.1745,-118.5383,,
200716724,2020-12-04,2020-12-03,0811,07,Wilshire,0722,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0104,19,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,442,8400    BEVERLY                      BL,34.0761,-118.3737,,
200914052,2020-08-27,2020-08-27,1255,09,Van Nuys,0935,2,624,BATTERY - SIMPLE ASSAULT,0444,57,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,14100    SYLVAN                       ST,34.1847,-118.44,,
200100572,2020-01-28,2020-01-28,2100,01,Central,0181,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300 1822 1414 1420,0,X,X,101,STREET,,,IC,Invest Cont,740,11TH                         ST,34.0431,-118.2692,,FIGUEROA                     ST
200810920,2020-06-20,2020-06-20,1000,08,West LA,0841,2,624,BATTERY - SIMPLE ASSAULT,1202 0448,78,F,W,510,NURSING/CONVALESCENT/RETIREMENT HOME,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,12100    SANTA MONICA                 BL,34.0423,-118.4656,,
200100574,2020-01-30,2020-01-29,1930,01,Central,0162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 1414,0,M,W,404,DEPARTMENT STORE,,,IC,Invest Cont,442,700 W  7TH                          ST,34.048,-118.2577,,
200100576,2020-01-30,2020-01-30,0055,01,Central,0195,1,330,BURGLARY FROM VEHICLE,0344 1605 1611 1822 0385 0321,24,M,H,101,STREET,,,AA,Adult Arrest,330,18TH                         ST,34.0317,-118.2626,,LOS ANGELES                  ST
200100578,2020-01-31,2020-01-30,2040,01,Central,0163,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0947 0913 0416 0447 1402 0319 0443 1420 2004,52,M,H,401,MINI-MART,302,BLUNT INSTRUMENT,AA,Adult Arrest,230,7TH                          ST,34.0456,-118.254,,BROADWAY
200100583,2020-02-04,2020-02-04,0920,01,Central,0146,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 2004 1822 1402,38,F,H,203,OTHER BUSINESS,212,BOTTLE,AA,Adult Arrest,230,200    WINSTON                      ST,34.0467,-118.247,998,
200100584,2020-02-04,2020-02-04,1645,01,Central,0162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 1402,55,M,W,404,DEPARTMENT STORE,,,IC,Invest Cont,442,700 S  FLOWER                       ST,34.0487,-118.2588,998,
221412410,2022-06-15,2020-11-12,1700,14,Pacific,1444,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,13600    MARINA POINT                 DR,33.9876,-118.4489,,
200100587,2020-02-06,2020-02-06,1135,01,Central,0163,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1310 1307 0329 1402,66,F,A,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,8TH,34.0431,-118.2536,998,SPRING
